iterazione,timestamp,mappa,agenti,oggetti,ticks,energia_media_persa
16,00:50:58,B.json,5,8/10,155,150.0
17,00:50:59,B.json,5,8/10,155,150.0
18,00:51:00,B.json,5,9/10,155,150.0
19,00:51:01,B.json,5,8/10,156,150.0
20,00:51:02,B.json,5,7/10,155,150.0
21,00:51:03,B.json,5,9/10,155,150.0
22,00:51:04,B.json,5,7/10,155,150.0
23,00:51:05,B.json,5,7/10,155,150.0
24,00:51:05,B.json,5,8/10,155,150.0
25,00:51:06,B.json,5,9/10,155,150.0
26,00:51:07,B.json,5,8/10,156,150.0
27,00:51:08,B.json,5,9/10,155,150.0
28,00:51:09,B.json,5,7/10,155,150.0
29,00:51:10,B.json,5,8/10,155,150.0
30,00:51:11,B.json,5,9/10,156,150.0
31,00:51:12,B.json,5,7/10,155,150.0
32,00:51:13,B.json,5,7/10,155,150.0
33,00:51:14,B.json,5,7/10,155,150.0
34,00:51:15,B.json,5,7/10,155,150.0
35,00:51:16,B.json,5,7/10,155,150.0
36,00:51:17,B.json,5,8/10,156,150.0
37,00:51:18,B.json,5,7/10,155,150.0
38,00:51:19,B.json,5,7/10,156,150.0
39,00:51:20,B.json,5,8/10,155,150.0
40,00:51:21,B.json,5,7/10,155,150.0
41,00:51:21,B.json,5,7/10,155,150.0
42,00:51:22,B.json,5,6/10,155,150.0
43,00:51:23,B.json,5,8/10,155,150.0
44,00:51:24,B.json,5,8/10,157,150.0
45,00:51:25,B.json,5,8/10,155,150.0
46,00:51:26,B.json,5,9/10,155,150.0
47,00:51:27,B.json,5,5/10,155,150.0
48,00:51:28,B.json,5,8/10,155,150.0
49,00:51:28,B.json,5,7/10,157,150.0
50,00:51:29,B.json,5,8/10,155,150.0
51,00:51:30,B.json,5,7/10,155,150.0
52,00:51:31,B.json,5,7/10,155,150.0
53,00:51:32,B.json,5,8/10,155,150.0
54,00:51:33,B.json,5,8/10,155,150.0
55,00:51:34,B.json,5,8/10,155,150.0
56,00:51:34,B.json,5,7/10,156,150.0
57,00:51:35,B.json,5,9/10,155,150.0
58,00:51:36,B.json,5,8/10,155,150.0
59,00:51:37,B.json,5,6/10,155,150.0
60,00:51:38,B.json,5,8/10,155,150.0
61,00:51:39,B.json,5,9/10,155,150.0
62,00:51:40,B.json,5,9/10,155,150.0
63,00:51:41,B.json,5,7/10,155,150.0
64,00:51:42,B.json,5,9/10,155,150.0
65,00:51:43,B.json,5,7/10,155,150.0
66,00:51:43,B.json,5,7/10,155,150.0
67,00:51:44,B.json,5,8/10,155,150.0
68,00:51:45,B.json,5,8/10,158,150.0
69,00:51:46,B.json,5,7/10,156,150.0
